Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Valeric Acid (C₅H₁₀O₂),418,107,Glass,112,Poor,"Eye Wash Station Access, Safety Goggles, Respirator Mask, Gloves",Factory Floor,Corrosion Damage,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),49,54,Ceramic Containers,40,Poor,"Respirator Mask, Chemical Suit, Chemical-resistant Gloves, Full Body Protective Suit",Hazardous Material Room,None,HIGH RISK
Hydrofluoric Acid (HF),75,79,Borosilicate Glass,89,Fume Hood Ventilation,"Safety Boots, Chemical Suit, Eye Wash Station Access, Gloves, Respirator Mask",Hazardous Material Room,None,HIGH RISK
Selenic Acid (H₂SeO₄),4,23,PVC (Polyvinyl Chloride),2,Poor,"Full Body Protective Suit, Safety Goggles, Eye Wash Station Access, Respirator Mask, Face Shield",Hazardous Material Room,Container Leakage,LOW RISK
Citric Acid (C₆H₈O₇),19,38,Glass,16,High,Safety Boots,Warehouse,Toxic Gas Release,MEDIUM RISK
Sulfamic Acid (H₃NSO₃),17,37,HDPE Plastic,36,Fume Hood Ventilation,"Safety Goggles, Respirator Mask, Chemical Suit, Gloves",Underground Storage,None,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),51,44,Polypropylene,15,Poor,"Full Body Protective Suit, Respirator Mask, Safety Boots, Gloves, Eye Wash Station Access",Underground Storage,Acid Spill,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),69,41,Fiber-Reinforced Plastic (FRP),32,Good,Gloves,Underground Storage,Acid Spill,HIGH RISK
Methacrylic Acid (C₄H₆O₂),55,45,Borosilicate Glass,29,Moderate,"Full Body Protective Suit, Safety Boots, Safety Goggles",Laboratory,Container Leakage,MEDIUM RISK
Propionic Acid (C₃H₆O₂),58,59,Borosilicate Glass,67,Moderate,"Face Shield, Respirator Mask, Eye Wash Station Access, Chemical-resistant Gloves",Warehouse,Corrosion Damage,HIGH RISK
Stearic Acid (C₁₈H₃₆O₂),72,43,Polypropylene,84,Moderate,"Safety Goggles, Chemical-resistant Gloves",Laboratory,Container Leakage,HIGH RISK
